39.7,6,348.8,0.187,0.0018
39.7,10.1,252.2,0.17,0.0039
39.7,21.1,236.5,0.155,0.0049
39.7,31.3,231.9,0.146,0.0063
39.7,40,229.8,0.137,0.0071
39.7,47.3,228.6,0.133,0.0078
39.7,53.4,227.8,0.131,0.0081
39.7,58.5,227.3,0.13,0.0084
19.9,61.1,145.3,0.268,0.011
19.9,57.4,149.9,0.27,0.0105
19.9,53.6,155.8,0.274,0.0104
19.9,49.6,163.3,0.28,0.0102
19.9,46,172.9,0.279,0.0098
19.9,43.1,184.7,0.278,0.009
19.9,41.7,198.3,0.279,0.0083
19.9,42.1,212.5,0.284,0.0086
19.9,44.2,225.5,0.276,0.0085
19.9,47.4,236.5,0.275,0.0075
19.9,51.3,245.2,0.277,0.0083
19.9,55.3,252,0.277,0.0085
19.9,59.1,257.4,0.275,0.0081
19.9,62.6,261.6,0.271,0.0081
22.7,60.2,146.3,0.245,0.0087
22.7,56.1,150.1,0.245,0.0091
22.7,51.5,155,0.248,0.0084
22.7,46.6,161.7,0.254,0.0079
22.7,41.5,171,0.257,0.0078
22.7,37.1,183.6,0.262,0.0072
22.7,34.2,200.1,0.263,0.0064
22.7,33.9,218.5,0.266,0.0056
22.7,36.3,235.6,0.263,0.0053
22.7,40.6,249.1,0.264,0.0053
22.7,45.6,259,0.266,0.0055
22.7,50.7,266.1,0.266,0.0059
22.7,55.4,271.4,0.262,0.0066
22.7,59.6,275.3,0.27,0.0074
22.1,65.3,155.7,0.256,0.0121
22.1,62.1,159.3,0.265,0.0118
22.1,58.7,163.8,0.27,0.0113
22.1,55,169.5,0.27,0.012
22.1,51.3,176.6,0.272,0.0108
22.1,47.9,185.6,0.276,0.0098
22.1,45.1,196.5,0.28,0.0097
22.1,43.6,209.2,0.28,0.0089
22.1,43.6,222.5,0.28,0.0087
22.1,45.2,235.1,0.285,0.0084
22.1,48.1,246,0.283,0.008
22.1,51.6,254.9,0.282,0.0074
22.1,55.3,262,0.283,0.0071
22.1,59,267.6,0.284,0.0071
22.1,62.5,272.1,0.279,0.0075
40.7,59.8,63,0.261,0.0082
40.7,55.6,67.5,0.253,0.0078
40.7,51,73.3,0.247,0.0073
40.7,46.2,81.1,0.235,0.0074
40.7,41.6,91.6,0.226,0.0075
40.7,37.9,105.4,0.215,0.0083
40.7,36,122.2,0.206,0.0097
40.7,36.8,139.6,0.202,0.0111
40.7,39.8,154.9,0.194,0.0127
40.7,44.2,166.8,0.197,0.0155
40.7,49,175.6,0.201,0.018
40.7,53.7,182.2,0.2,0.0179
40.7,58,187.2,0.201,0.0174
